CIS	CISLabel	BN	BNlabel	NIMED	UCD13
CIS62915154	MYDRIATICUM 0,5 POUR CENT, collyre	http://www.romedi.fr/romedi/BNueptfo2c9m93qd5m0ok2apak7q0612jj	MYDRIATICUM	4077	3400890605649
CIS64029712	MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose	http://www.romedi.fr/romedi/BNueptfo2c9m93qd5m0ok2apak7q0612jj	MYDRIATICUM	9519	3400891775334
CIS67423452	MYDRIASERT, insert ophtalmique	http://www.romedi.fr/romedi/BNrmkrdsijc6g18ijda9bkap0ppd3jr3ua	MYDRIASERT	13196	3400892214870
CIS60893549	LOCACID, crème dermatologique	http://www.romedi.fr/romedi/BNfffpg3meid4crdatgc74iajgktm6oflm	LOCACID	2655	3400890548076
CIS62178757	EFFEDERM, solution pour application cutanée	http://www.romedi.fr/romedi/BNt53vk694d02iioeu0t7vcetlmei9140a	EFFEDERM	3784	3400890304399
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/BNeeudf3p3m6j6lj34em74cof0gm7i1ol3	ERYLIK	11222	3400891965940
CIS60552619	KETREL 0,050 POUR CENT, crème	http://www.romedi.fr/romedi/BNqgcqt9vhmni1hkk2i7b84t4a7cblsmhs	KETREL	10681	3400891880571
CIS65540866	VESANOID 10 mg, capsule molle	http://www.romedi.fr/romedi/BN9v0iu55fcnqegutq065v55r7vkono0d8	VESANOID	9512	3400891821840
CIS67711141	LOCACID, lotion	http://www.romedi.fr/romedi/BNfffpg3meid4crdatgc74iajgktm6oflm	LOCACID	2654	3400890548137
CIS67020138	EFFEDERM 0,05 POUR CENT, crème	http://www.romedi.fr/romedi/BNt53vk694d02iioeu0t7vcetlmei9140a	EFFEDERM	3742	3400890304221
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/BNhmdm0m2ptjtq4m15u321qaotitneoq7u	BETA ADALATE	1314	3400891234541
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/BNtlfu2li7gvfc9ub4jsls7l4fjreldmro	ADALATE	4600	3400890010764
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/BNtlfu2li7gvfc9ub4jsls7l4fjreldmro	ADALATE	6557	3400891022391
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	12236	3400892015859
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	22301	3400892779447
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/BNneh56ivsnj5884roe52jfkiobg8tdu35	NIFEDIPINE	23260	3400892928890
