ICD10	PMSI	diseaseName	Wikidata	UMLS	synonyms	abbreviation
A01.0	PMSI:DIAGNOSTIC-ICD10CHU|A01.0	Fièvre typhoïde	Q326648	n/a	n/a	n/a
A03.9	PMSI:DIAGNOSTIC-ICD10CHU|A03.9	Shigellose, sans précision	Q327298	n/a	n/a	n/a
A08.2	PMSI:DIAGNOSTIC-ICD10CHU|A08.2	Entérite à adénovirus	n/a	n/a	n/a	n/a
A09.9	PMSI:DIAGNOSTIC-ICD10CHU|A09.9	Gastro-entérite Aigue, origine NP	n/a	n/a	n/a	n/a
A16.7	PMSI:DIAGNOSTIC-ICD10CHU|A16.7	Primo-infection tuberculeuse de l'appareil respiratoire, sans mention de confirmation bactériologiq	n/a	n/a	n/a	n/a
A19.9	PMSI:DIAGNOSTIC-ICD10CHU|A19.9	Tuberculose miliaire, SP	Q17583	n/a	n/a	n/a
A21.0	PMSI:DIAGNOSTIC-ICD10CHU|A21.0	Tularémie ulcéro-glandulaire	Q18554218	n/a	n/a	n/a
A28.0	PMSI:DIAGNOSTIC-ICD10CHU|A28.0	Pasteurellose	Q2589418	n/a	n/a	n/a
A28.1	PMSI:DIAGNOSTIC-ICD10CHU|A28.1	Maladie des griffes du chat	Q639776	n/a	n/a	n/a
A30.2	PMSI:DIAGNOSTIC-ICD10CHU|A30.2	Lèpre tuberculoïde de type intermédiaire atypique	n/a	n/a	n/a	n/a
A31.8	PMSI:DIAGNOSTIC-ICD10CHU|A31.8	Autres infections à Mycobacterium	n/a	n/a	n/a	n/a
A39.5	PMSI:DIAGNOSTIC-ICD10CHU|A39.5	Cardite à méningocoques$	n/a	n/a	n/a	n/a
A39.8	PMSI:DIAGNOSTIC-ICD10CHU|A39.8	Autres infections à méningocoques	n/a	n/a	n/a	n/a
A42.7	PMSI:DIAGNOSTIC-ICD10CHU|A42.7	Sepsis actinomycosique	n/a	n/a	n/a	n/a
A42.8	PMSI:DIAGNOSTIC-ICD10CHU|A42.8	Autres formes d'actinomycose	n/a	n/a	n/a	n/a
A49.3	PMSI:DIAGNOSTIC-ICD10CHU|A49.3	Infection à Mycoplasma, siège non précisé	n/a	n/a	n/a	n/a
A51.1	PMSI:DIAGNOSTIC-ICD10CHU|A51.1	Syphilis anale primaire	n/a	n/a	n/a	n/a
A52.2	PMSI:DIAGNOSTIC-ICD10CHU|A52.2	Syphilis nerveuse asymptomatique	Q18553767	n/a	n/a	n/a
A54.8	PMSI:DIAGNOSTIC-ICD10CHU|A54.8	Autres infections gonococciques	Q5582043	n/a	n/a	n/a
A63.8	PMSI:DIAGNOSTIC-ICD10CHU|A63.8	Autres maladies précisées dont le mode de transmission est essentiellement sexuel	n/a	n/a	n/a	n/a
A87.1	PMSI:DIAGNOSTIC-ICD10CHU|A87.1	Méningite adénovirus	n/a	n/a	n/a	n/a
B02.8	PMSI:DIAGNOSTIC-ICD10CHU|B02.8	Zona avec autres complications	n/a	n/a	n/a	n/a
B05.3	PMSI:DIAGNOSTIC-ICD10CHU|B05.3	Rougeole compliquée d'une otite moyenne$ (H671*)	n/a	n/a	n/a	n/a
B08.1	PMSI:DIAGNOSTIC-ICD10CHU|B08.1	Molluscum contagiosum	Q659584	n/a	n/a	n/a
B18.9	PMSI:DIAGNOSTIC-ICD10CHU|B18.9	Hépatite virale chronique, sans précision	n/a	n/a	n/a	n/a
B20.0	PMSI:DIAGNOSTIC-ICD10CHU|B20.0	Maladie par VIH à l'origine d'une infection mycobactérienne	n/a	n/a	n/a	n/a
B20.5	PMSI:DIAGNOSTIC-ICD10CHU|B20.5	Maladie par VIH à l'origine d'autres mycoses	n/a	n/a	n/a	n/a
B21.0	PMSI:DIAGNOSTIC-ICD10CHU|B21.0	Maladie par VIH à l'origine d'un sarcome de Kaposi	n/a	n/a	n/a	n/a
B25.1	PMSI:DIAGNOSTIC-ICD10CHU|B25.1	Hépatite CMV	n/a	n/a	n/a	n/a
B26.9	PMSI:DIAGNOSTIC-ICD10CHU|B26.9	Oreillons sans complication	Q176741	n/a	n/a	n/a
B33.0	PMSI:DIAGNOSTIC-ICD10CHU|B33.0	Myalgie épidémique	Q223663	n/a	n/a	n/a
B36.2	PMSI:DIAGNOSTIC-ICD10CHU|B36.2	Piedra blanche	Q3902759	n/a	n/a	n/a
