CIS	CISLabel	drugClass	drugClassLabel
CIS62915154	MYDRIATICUM 0,5 POUR CENT, collyre	http://www.romedi.fr/romedi/DrugClass10110	médicaments atropiniques
CIS64029712	MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose	http://www.romedi.fr/romedi/DrugClass10110	médicaments atropiniques
CIS67423452	MYDRIASERT, insert ophtalmique	http://www.romedi.fr/romedi/DrugClass10110	médicaments atropiniques
CIS67423452	MYDRIASERT, insert ophtalmique	http://www.romedi.fr/romedi/DrugClass10146	sympathomimétiques alpha (voies orale et/ou nasale)
CIS67423452	MYDRIASERT, insert ophtalmique	http://www.romedi.fr/romedi/DrugClass10148	sympathomimétiques indirects
CIS60893549	LOCACID, crème dermatologique	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS62178757	EFFEDERM, solution pour application cutanée	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/DrugClass10100	inhibiteurs puissants du CYP3A4
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/DrugClass10104	macrolides (sauf spiramycine)
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/DrugClass10141	substances susceptibles de donner des torsades de pointes
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/DrugClass10152	torsadogènes (sauf arsénieux, antiparasitaires, neuroleptiques, méthadone...)
CIS60552619	KETREL 0,050 POUR CENT, crème	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS65540866	VESANOID 10 mg, capsule molle	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS67711141	LOCACID, lotion	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS67020138	EFFEDERM 0,05 POUR CENT, crème	http://www.romedi.fr/romedi/DrugClass10138	rétinoïdes
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10044	bêta-bloquants (sauf esmolol et sotalol)
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10045	bêta-bloquants (sauf esmolol)
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10049	bradycardisants
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass4	antihypertenseurs
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10014	antagonistes des canaux calciques
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10029	antihypertenseurs sauf alpha-bloquants
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10058	dihydropyridines
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/DrugClass10108	médicaments abaissant la pression artérielle
