CIS	CISLabel	IN	INlabel	drugUri
CIS62915154	MYDRIATICUM 0,5 POUR CENT, collyre	http://www.romedi.fr/romedi/INgroils27aah5lcttr8j7s8ts2qt3lln0	TROPICAMIDE	Q29310
CIS64029712	MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose	http://www.romedi.fr/romedi/INgroils27aah5lcttr8j7s8ts2qt3lln0	TROPICAMIDE	Q29310
CIS67423452	MYDRIASERT, insert ophtalmique	http://www.romedi.fr/romedi/INgroils27aah5lcttr8j7s8ts2qt3lln0	TROPICAMIDE	Q29310
CIS60893549	LOCACID, crème dermatologique	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS62178757	EFFEDERM, solution pour application cutanée	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS61381765	ERYLIK, gel pour application cutanée	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS60552619	KETREL 0,050 POUR CENT, crème	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS65540866	VESANOID 10 mg, capsule molle	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS67711141	LOCACID, lotion	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS67020138	EFFEDERM 0,05 POUR CENT, crème	http://www.romedi.fr/romedi/INh94i3vdtue47g04bo96f00srvdjbos8c	TRÉTINOÏNE	Q29417
CIS63753794	BETA ADALATE, gélule	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS62287112	ADALATE 10 mg, capsule	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS67866775	TENORDATE, gélule	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS66702214	ATENOLOL/NIFEDIPINE MYLAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS66663373	ATENOLOL/NIFEDIPINE BIOGARAN 50 mg/20 mg, gélule	http://www.romedi.fr/romedi/IN4e6lqrsq16242fvvlu7fo9i4b84ruu0h	NIFÉDIPINE	Q39111
CIS61355763	LANGORAN L.P. 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS60619306	MONICOR L P 40 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS60144966	MONICOR L.P. 60 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS60172339	ISOCARD, solution sublinguale en flacon pulvérisateur	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
CIS62973702	MONICOR L.P. 20 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/INblomv15219hdbbp247vvcnr19htbqmpv	ISOSORBIDE	Q179748
