diseaseUri	CIS	CISLabel
Q145790	CIS62915154	MYDRIATICUM 0,5 POUR CENT, collyre
Q145790	CIS64029712	MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose
Q145790	CIS67423452	MYDRIASERT, insert ophtalmique
Q757838	CIS62915154	MYDRIATICUM 0,5 POUR CENT, collyre
Q757838	CIS64029712	MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose
Q757838	CIS67423452	MYDRIASERT, insert ophtalmique
Q2346396	CIS62915154	MYDRIATICUM 0,5 POUR CENT, collyre
Q2346396	CIS64029712	MYDRIATICUM 2 mg/0,4 ml, collyre en récipient unidose
Q2346396	CIS67423452	MYDRIASERT, insert ophtalmique
Q79928	CIS60893549	LOCACID, crème dermatologique
Q79928	CIS62178757	EFFEDERM, solution pour application cutanée
Q79928	CIS61381765	ERYLIK, gel pour application cutanée
Q79928	CIS60552619	KETREL 0,050 POUR CENT, crème
Q79928	CIS65540866	VESANOID 10 mg, capsule molle
Q79928	CIS67711141	LOCACID, lotion
Q79928	CIS67020138	EFFEDERM 0,05 POUR CENT, crème
Q264118	CIS60893549	LOCACID, crème dermatologique
Q264118	CIS62178757	EFFEDERM, solution pour application cutanée
Q264118	CIS61381765	ERYLIK, gel pour application cutanée
Q264118	CIS60552619	KETREL 0,050 POUR CENT, crème
Q264118	CIS65540866	VESANOID 10 mg, capsule molle
Q264118	CIS67711141	LOCACID, lotion
Q264118	CIS67020138	EFFEDERM 0,05 POUR CENT, crème
Q612108	CIS60893549	LOCACID, crème dermatologique
Q612108	CIS62178757	EFFEDERM, solution pour application cutanée
Q612108	CIS61381765	ERYLIK, gel pour application cutanée
Q612108	CIS60552619	KETREL 0,050 POUR CENT, crème
Q612108	CIS65540866	VESANOID 10 mg, capsule molle
Q612108	CIS67711141	LOCACID, lotion
Q612108	CIS67020138	EFFEDERM 0,05 POUR CENT, crème
Q949302	CIS60893549	LOCACID, crème dermatologique
Q949302	CIS62178757	EFFEDERM, solution pour application cutanée
Q949302	CIS61381765	ERYLIK, gel pour application cutanée
Q949302	CIS60552619	KETREL 0,050 POUR CENT, crème
Q949302	CIS65540866	VESANOID 10 mg, capsule molle
Q949302	CIS67711141	LOCACID, lotion
Q949302	CIS67020138	EFFEDERM 0,05 POUR CENT, crème
Q18555301	CIS60893549	LOCACID, crème dermatologique
Q18555301	CIS62178757	EFFEDERM, solution pour application cutanée
Q18555301	CIS61381765	ERYLIK, gel pour application cutanée
Q18555301	CIS60552619	KETREL 0,050 POUR CENT, crème
Q18555301	CIS65540866	VESANOID 10 mg, capsule molle
Q18555301	CIS67711141	LOCACID, lotion
Q18555301	CIS67020138	EFFEDERM 0,05 POUR CENT, crème
Q41861	CIS63753794	BETA ADALATE, gélule
Q41861	CIS62287112	ADALATE 10 mg, capsule
Q41861	CIS65347828	ADALATE 20 mg L.P., comprimé à libération prolongée
Q41861	CIS62129870	NIFEDIPINE MYLAN L.P. 20 mg, comprimé à libération prolongée
Q41861	CIS61636187	NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée
Q41861	CIS61387533	NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée
Q41861	CIS64893386	NIFEDIPINE SANDOZ L.P. 30 mg, comprimé pelliculé à libération prolongée
Q41861	CIS65904960	NIFEDIPINE RANBAXY L.P. 30 mg, comprimé pelliculé à libération prolongée
Q41861	CIS67866775	TENORDATE, gélule
Q41861	CIS68540330	NIFEDIPINE RPG LP 20 mg, comprimé enrobé à libération prolongée
Q41861	CIS69805340	CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée
Q41861	CIS66932763	NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée
