diseaseWikidata	label	wikidata
Q1049021	psychologie	Q9418
Q1051355	psychologie	Q9418
Q1069110	psychologie	Q9418
Q1129046	psychologie	Q9418
Q1134891	psychologie	Q9418
Q1188698	psychologie	Q9418
Q1282114	psychologie	Q9418
Q1374020	psychologie	Q9418
Q105434	psychologie	Q9418
Q118418	psychologie	Q9418
Q144119	psychologie	Q9418
Q152100	psychologie	Q9418
Q160796	psychologie	Q9418
Q175854	psychologie	Q9418
Q178059	psychologie	Q9418
Q178190	psychologie	Q9418
Q180913	psychologie	Q9418
Q182413	psychologie	Q9418
Q183560	psychologie	Q9418
Q184674	psychologie	Q9418
Q188611	psychologie	Q9418
Q207791	psychologie	Q9418
Q209522	psychologie	Q9418
Q212021	psychologie	Q9418
Q231578	psychologie	Q9418
Q270673	psychologie	Q9418
Q281928	psychologie	Q9418
Q318005	psychologie	Q9418
Q319312	psychologie	Q9418
Q320719	psychologie	Q9418
Q377493	psychologie	Q9418
Q388722	psychologie	Q9418
Q400277	psychologie	Q9418
Q424221	psychologie	Q9418
Q509122	psychologie	Q9418
Q510236	psychologie	Q9418
Q567869	psychologie	Q9418
Q596474	psychologie	Q9418
Q608259	psychologie	Q9418
Q622604	psychologie	Q9418
Q747735	psychologie	Q9418
Q845224	psychologie	Q9418
Q861560	psychologie	Q9418
Q912344	psychologie	Q9418
Q936549	psychologie	Q9418
Q498916	neuropsychologie	Q3872
Q567576	neuropsychologie	Q3872
Q584560	neuropsychologie	Q3872
Q742672	neuropsychologie	Q3872
Q1246050	neuropsychologie	Q3872
Q1269351	neuropsychologie	Q3872
Q1515119	neuropsychologie	Q3872
Q2836	neuropsychologie	Q3872
Q20707611	neuropsychologie	Q3872
Q132971	neuropsychologie	Q3872
Q213600	neuropsychologie	Q3872
Q220322	neuropsychologie	Q3872
Q225957	neuropsychologie	Q3872
Q1578799	psychologie	Q9418
Q2015728	psychologie	Q9418
Q2606101	psychologie	Q9418
Q2627467	psychologie	Q9418
Q2686385	psychologie	Q9418
Q3087172	psychologie	Q9418
Q7255172	psychiatrie	Q7867
Q7256482	psychiatrie	Q7867
Q7331102	psychiatrie	Q7867
Q7574983	psychiatrie	Q7867
Q7632070	psychiatrie	Q7867
Q9334248	psychiatrie	Q7867
Q4915474	psychiatrie	Q7867
Q9385429	psychiatrie	Q7867
Q5282510	psychiatrie	Q7867
Q5376333	psychiatrie	Q7867
Q10267833	psychiatrie	Q7867
Q6884011	psychiatrie	Q7867
Q2657784	psychiatrie	Q7867
Q2667685	psychiatrie	Q7867
Q2686385	psychiatrie	Q7867
Q2845978	psychiatrie	Q7867
Q2855814	psychiatrie	Q7867
Q2933021	psychiatrie	Q7867
Q3043345	psychiatrie	Q7867
Q3052614	psychiatrie	Q7867
Q3065932	psychiatrie	Q7867
Q3087172	psychiatrie	Q7867
Q3184856	psychiatrie	Q7867
Q3208285	psychiatrie	Q7867
Q3208830	psychiatrie	Q7867
Q3288122	psychiatrie	Q7867
Q3297888	psychiatrie	Q7867
Q3378593	psychiatrie	Q7867
Q3435504	psychiatrie	Q7867
Q1201835	psychiatrie	Q7867
Q1246050	psychiatrie	Q7867
Q1282114	psychiatrie	Q7867
Q1328833	psychiatrie	Q7867
Q1331905	psychiatrie	Q7867
Q1374020	psychiatrie	Q7867
Q1432717	psychiatrie	Q7867
Q1453767	psychiatrie	Q7867
Q1482034	psychiatrie	Q7867
Q1578799	psychiatrie	Q7867
Q1636310	psychiatrie	Q7867
Q1639178	psychiatrie	Q7867
Q1757359	psychiatrie	Q7867
Q1757549	psychiatrie	Q7867
Q1869874	psychiatrie	Q7867
Q2015728	psychiatrie	Q7867
Q2151786	psychiatrie	Q7867
Q2157462	psychiatrie	Q7867
Q2184304	psychiatrie	Q7867
Q2300749	psychiatrie	Q7867
Q2338307	psychiatrie	Q7867
Q2569523	psychiatrie	Q7867
Q2581333	psychiatrie	Q7867
Q2606101	psychiatrie	Q7867
Q2627467	psychiatrie	Q7867
Q3612627	psychiatrie	Q7867
Q3743188	psychiatrie	Q7867
Q3743620	psychiatrie	Q7867
Q4062514	psychiatrie	Q7867
Q4086956	psychiatrie	Q7867
Q4134457	psychiatrie	Q7867
Q4162341	psychiatrie	Q7867
Q4200416	psychiatrie	Q7867
Q4261984	psychiatrie	Q7867
Q4340209	psychiatrie	Q7867
Q4358147	psychiatrie	Q7867
Q4713263	psychiatrie	Q7867
Q11612290	psychiatrie	Q7867
Q25531259	psychiatrie	Q7867
Q17028415	psychiatrie	Q7867
Q17077617	psychiatrie	Q7867
Q13036777	psychiatrie	Q7867
Q26721126	psychiatrie	Q7867
Q18553788	psychiatrie	Q7867
Q18553947	psychiatrie	Q7867
Q18553956	psychiatrie	Q7867
Q18554007	psychiatrie	Q7867
Q18554152	psychiatrie	Q7867
Q18554227	psychiatrie	Q7867
Q18554379	psychiatrie	Q7867
Q18554889	psychiatrie	Q7867
Q18555102	psychiatrie	Q7867
Q18555117	psychiatrie	Q7867
Q18557338	psychiatrie	Q7867
Q18557624	psychiatrie	Q7867
Q18557963	psychiatrie	Q7867
Q18557988	psychiatrie	Q7867
Q18558273	psychiatrie	Q7867
Q18966343	psychiatrie	Q7867
Q19000444	psychiatrie	Q7867
Q10469820	psychiatrie	Q7867
Q15043325	psychiatrie	Q7867
Q46545345	psychiatrie	Q7867
Q28741649	psychiatrie	Q7867
Q28823477	psychiatrie	Q7867
Q28914244	psychiatrie	Q7867
Q28923579	psychiatrie	Q7867
Q15640367	psychiatrie	Q7867
Q38076020	psychiatrie	Q7867
Q862872	psychiatrie	Q7867
Q912344	psychiatrie	Q7867
Q917357	psychiatrie	Q7867
Q929963	psychiatrie	Q7867
Q935129	psychiatrie	Q7867
Q936549	psychiatrie	Q7867
Q937353	psychiatrie	Q7867
Q1049021	psychiatrie	Q7867
Q1051223	psychiatrie	Q7867
Q1051355	psychiatrie	Q7867
Q1060310	psychiatrie	Q7867
Q1069110	psychiatrie	Q7867
Q1075470	psychiatrie	Q7867
Q1077139	psychiatrie	Q7867
Q1106843	psychiatrie	Q7867
Q1129046	psychiatrie	Q7867
Q1134891	psychiatrie	Q7867
Q1137463	psychiatrie	Q7867
Q1185316	psychiatrie	Q7867
Q1188698	psychiatrie	Q7867
Q40649915	pathologie	Q7208
Q525075	pathologie	Q7208
Q1617386	pathologie	Q7208
Q281928	psychiatrie	Q7867
Q303555	psychiatrie	Q7867
Q317158	psychiatrie	Q7867
Q318005	psychiatrie	Q7867
Q319312	psychiatrie	Q7867
Q320719	psychiatrie	Q7867
Q332768	psychiatrie	Q7867
Q360035	psychiatrie	Q7867
Q360341	psychiatrie	Q7867
Q367929	psychiatrie	Q7867
Q373822	psychiatrie	Q7867
Q377493	psychiatrie	Q7867
Q388722	psychiatrie	Q7867
Q400277	psychiatrie	Q7867
Q424221	psychiatrie	Q7867
Q427810	psychiatrie	Q7867
Q486680	psychiatrie	Q7867
Q498237	psychiatrie	Q7867
Q509122	psychiatrie	Q7867
Q510236	psychiatrie	Q7867
Q544006	psychiatrie	Q7867
Q576349	psychiatrie	Q7867
Q583908	psychiatrie	Q7867
Q608259	psychiatrie	Q7867
Q622604	psychiatrie	Q7867
Q622901	psychiatrie	Q7867
Q629515	psychiatrie	Q7867
Q640836	psychiatrie	Q7867
Q671776	psychiatrie	Q7867
Q695954	psychiatrie	Q7867
Q696490	psychiatrie	Q7867
Q721073	psychiatrie	Q7867
Q741713	psychiatrie	Q7867
Q742672	psychiatrie	Q7867
Q747735	psychiatrie	Q7867
Q748309	psychiatrie	Q7867
Q786468	psychiatrie	Q7867
Q815296	psychiatrie	Q7867
Q834047	psychiatrie	Q7867
Q838018	psychiatrie	Q7867
