diseaseWikidata	prefLabel	wikidata	CUI	synonyms	weight
Q67841409	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q53926008	céphalée	Q86	['C0018681']	['céphalgie', 'céphalalgie', 'douleur crânienne', 'douleur dans la tête', 'maux de tête', 'mal de tête', 'céphalée sai', 'gene dans la tete', 'mal de tete', 'céphalées', 'cephalalgie', 'cephalees (sf n02 n89 r09)', 'céphalée', 'céphalodynie', 'cephalees']	0.019
Q131755	aphasie	Q2836	['C0973461']	['dysphasie']	1.0
Q1860507	cataracte	Q127724	['C0029531', 'C0086543', 'C1510497']	['autre cataracte', 'cataracte sai', 'cataracte', 'cataractes', 'cataracte non précisée', 'opacités du cristallin', 'cataracte', 'opacité cristalline', 'opacite du cristallin', 'opacité du cristallin']	0.25
Q2076966	cataracte	Q127724	['C0029531', 'C0086543', 'C1510497']	['autre cataracte', 'cataracte sai', 'cataracte', 'cataractes', 'cataracte non précisée', 'opacités du cristallin', 'cataracte', 'opacité cristalline', 'opacite du cristallin', 'opacité du cristallin']	0.25
Q7005033	cataracte	Q127724	['C0029531', 'C0086543', 'C1510497']	['autre cataracte', 'cataracte sai', 'cataracte', 'cataractes', 'cataracte non précisée', 'opacités du cristallin', 'cataracte', 'opacité cristalline', 'opacite du cristallin', 'opacité du cristallin']	0.25
Q18589315	cataracte	Q127724	['C0029531', 'C0086543', 'C1510497']	['autre cataracte', 'cataracte sai', 'cataracte', 'cataractes', 'cataracte non précisée', 'opacités du cristallin', 'cataracte', 'opacité cristalline', 'opacite du cristallin', 'opacité du cristallin']	0.25
Q8071861	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q11627066	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q18371582	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q720032	convulsion hyperthermique	Q127664	['C0009952']	['crises fébriles', 'crises convulsives fébriles', 'crise convulsive fébrile', 'accès convulsif fébrile', 'accès convulsifs fébriles', 'convulsions febriles', 'convulsions fébriles', 'convulsion fébrile']	0.5
Q4421929	convulsion hyperthermique	Q127664	['C0009952']	['crises fébriles', 'crises convulsives fébriles', 'crise convulsive fébrile', 'accès convulsif fébrile', 'accès convulsifs fébriles', 'convulsions febriles', 'convulsions fébriles', 'convulsion fébrile']	0.5
Q32553802	vomissement	Q127076	['C0042963']	['vomissement sai', 'vomissement', 'vomi']	0.026
Q725345	tumeur	Q133212	n/a	n/a	1.0
Q12156	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
Q203133	anémie	Q5445	['C0002871', 'C0162119']	"['anémie', 'anémie, non précisée', 'anémie non précisée', 'anémie sai', 'anemie', 'hémoglobine diminuée', 'hémoglobine basse', ""diminution du taux d'hemoglobine"", 'hémogobine diminuée', 'hb diminuée']"	0.1
